,text,Country,sentiment,Collected at
91,@ChrisParry @MrMercuryCat Well done! 👍🏾👍🏾👍🏾,Switzerland,0.0,2021-01-08 23:46:23
92,Reparations https://t.co/TNaWX9IYQE,Switzerland,0.0,2021-01-08 23:45:59
93,@NeesiefromCA @VoteBH_2020 ...is very beautiful!!!😻😻😻,Switzerland,0.2,2021-01-08 23:43:50
94,@VoteBH_2020 For my mom and my boyfriend! 😄😄😄❤❤❤,Switzerland,0.0,2021-01-08 23:43:15
95,Thank you @Twitter https://t.co/ZEsWyU1q0h,Switzerland,0.0,2021-01-08 23:43:14
96,Twitter making America great again.,Switzerland,0.8,2021-01-08 23:43:07
97,@DomainDoris Poor Doris!!! It must be very scary indeed!!! Do you feel better now? Lots of love from Brianna and her cat Nori!❤❤❤😻😻😻,Switzerland,-0.1953125,2021-01-08 23:41:56
98,"@Cdanslair Finally trump is blocked, how nice and intelligent. He should be banned from social platforms.",Switzerland,0.3583333333333333,2021-01-08 23:41:02
99,"@jack Trump’s Twitter account is a lens into his brain. While it is a fantastic idea on the surface, we are flying blind now.",Switzerland,-0.04999999999999999,2021-01-08 23:40:37
100,When i see Stan lee on a marvel movie https://t.co/E2DxzSMUkm,Tanzania,0.0,2021-01-08 23:57:31
101,He should https://t.co/I0roNpu2Uc,Tanzania,0.0,2021-01-08 23:54:30
102,TEST_geocode: 97c48bc4-067d-426f-9daf-bee1dc01fad1,Tanzania,0.0,2021-01-08 23:54:03
103,TEST_geocode: 186ad1db-80a4-4380-a5b3-378afd71fa23,Tanzania,0.0,2021-01-08 23:43:09
104,Ehhh finally https://t.co/4wLeeYjdiw,Tanzania,0.0,2021-01-08 23:32:23
105,I wonder how it feels to be old... because..,Tanzania,0.1,2021-01-08 23:31:07
106,Terrence Howard fit the role better. Wish he stayed,Tanzania,0.45,2021-01-08 23:28:21
107,@nonstopfrale Kweli??  Take Care then,Tanzania,0.0,2021-01-08 23:24:56
108,@_oreoooooo Alone?,Tanzania,0.0,2021-01-08 23:24:49
109,@_oreoooooo Calling you shortly babe 😘🚀,Tanzania,0.0,2021-01-08 23:23:04
110,TEST_geocode: f18b0448-30db-49d1-94a8-784bfee104f9,Tanzania,0.0,2021-01-08 23:09:02
111,TEST_geocode: bb0a3413-2275-42eb-916b-912a1d2cfc51,Tanzania,0.0,2021-01-08 22:42:42
112,@cvodb More of a rain-person myself but I think a lot of folks would fancy some snow,Tanzania,0.5,2021-01-08 22:27:41
113,@shoottwoather  can do so https://t.co/DjBCbuoruo,Tanzania,0.0,2021-01-08 22:19:44
114,I need to sleep but this is so addictive 😩,Tanzania,0.0,2021-01-08 22:15:51
115,"""It will be biblical"" mbwa 1978",Tanzania,0.0,2021-01-08 22:12:07
116,The future is electric https://t.co/C7aV0NVIty,Tanzania,0.0,2021-01-08 22:11:57
117,"Flying over the glorious Alps (sorry snow-fans, this must make you drool) https://t.co/gbSdu0ri8t",Tanzania,-0.5,2021-01-08 22:03:32
118,@nonstopfrale Umeanza ufala kmmk and i know who😂😂,Tanzania,0.0,2021-01-08 22:02:56
119,vigro deep 🚀🚀,Tanzania,0.0,2021-01-08 22:01:45
0,@elonmusk @Erdayastronaut @SpaceX Unreal cool ✨,Switzerland,0.35,2021-01-09 23:55:15
1,"Got down to a 1:31.326 in the current Game Pass Cup event. Snuck past @josefnewgarden, but still over a second to f… https://t.co/j10irU8urp",Switzerland,-0.16111111111111112,2021-01-09 23:51:54
2,fed up of doing the most and receiving the least,Switzerland,0.1,2021-01-09 23:50:43
3,I just love to watch “Catch me if you can” just to hear how Leo says my name🤤🤤,Switzerland,0.5,2021-01-09 23:50:09
4,"@CryptoJebb Real values gone up in smoke for over two decades or do, generally speaking...
¶ 
(I have a quick quest… https://t.co/ZgGzA9xUlz",Switzerland,0.19444444444444442,2021-01-09 23:47:38
5,"youngerman esteba65, Man from #Basel, 21 years https://t.co/AThwB0owgE",Switzerland,0.0,2021-01-09 23:42:31
6,@ttdabet Whatsapp,Switzerland,0.0,2021-01-09 23:41:25
7,Terrorism Expert Fears Extremist Threat To Government Officials Could Re... https://t.co/x9gerKbBnn @offiziere… https://t.co/wRSls9XoMl,Switzerland,0.0,2021-01-09 23:39:59
8,@y_saquib Proud of u bruddy,Switzerland,0.8,2021-01-09 23:37:36
9,Walking on sunshine im Obergoms https://t.co/yFwJllu07C,Switzerland,0.0,2021-01-09 23:28:19
10,@TimOfLegend Time for a cat themed point and click adventure?,Switzerland,0.0,2021-01-09 23:27:52
11,Fein #Lidl but nice... https://t.co/S31XjbBcQz,Switzerland,0.6,2021-01-09 23:20:49
12,Bad tasteing... https://t.co/mUXyD0iwz7,Switzerland,-0.6999999999999998,2021-01-09 23:20:03
13,Bad tasting.. https://t.co/KDPAzXKeZj,Switzerland,-0.6999999999999998,2021-01-09 23:19:31
14,@davepaters Good isn't it.,Switzerland,0.7,2021-01-09 23:17:04
15,Love this adorable swiss village😍#pontresina #weekgetaway https://t.co/r2sFYORRyb,Switzerland,0.5,2021-01-09 23:16:57
16,@JakeCooperFM1 Amazing! Thank you very much! Really enjoyed the video too. Keep up the good work.,Switzerland,0.65,2021-01-09 23:15:13
17,@Bubola @TwitterSupport How do you know that about conservative accounts?,Switzerland,0.0,2021-01-09 23:10:10
18,I'm at Andys Home https://t.co/JltiMyj8ZX,Switzerland,0.0,2021-01-09 23:07:16
19,Starting next Wed 13 Jan 2021 participants from  🇺🇬 🇺🇸🇨🇭 🇩🇪 🇨🇦 🇪🇸 🇳🇱 will be the next candidates to become CED-Cert… https://t.co/VpDRxdlast,Switzerland,0.0,2021-01-09 23:04:46
0,Whatsziss? https://t.co/2nW3qEJRTK,Tanzania,0.0,2021-01-09 23:44:39
1,TEST_geocode: 2f454ab9-87f6-4efc-a49d-70385cb87c62,Tanzania,0.0,2021-01-09 23:39:07
2,TEST_geocode: 7d381df9-ea84-4301-8b55-266eb751b69c,Tanzania,0.0,2021-01-09 23:36:49
3,"Yeah, they do go on schedule as planned, and the false news would’ve gone off at mazsons if the KMKM stalwarts had… https://t.co/wb1JZS9EKq",Tanzania,-0.4000000000000001,2021-01-09 23:34:21
4,"Where are you? The kids ARE lunching, no doubt about that https://t.co/D9Ftyj3fI5",Tanzania,0.0,2021-01-09 23:29:04
5,Anyone around here  👀??,Tanzania,0.0,2021-01-09 23:15:58
6,TEST_geocode: 4764d9d5-ad80-4aa1-8695-272abf983934,Tanzania,0.0,2021-01-09 23:12:47
7,@Sajjo 😂😂😂😂I had a moment,Tanzania,0.0,2021-01-09 23:12:07
8,"I'am wit murder team, y'all nat!",Tanzania,0.0,2021-01-09 23:11:28
9,"@Naytrueboy @TunduALissu @ChademaTz Huyo ni Man and a Half.Shida ni kwamba Nabii hakubaliki kwao. But as a Country,… https://t.co/lWPPdm0MvX",Tanzania,0.0,2021-01-09 23:11:09
10,TEST_geocode: ad4eaf40-85d4-4ed0-bc3f-7659e95f7561,Tanzania,0.0,2021-01-09 23:09:15
11,@chris_rockyy @Jim_maxy Try again bro 😂😂,Tanzania,0.0,2021-01-09 22:58:00
12,Just posted a photo @ Azam TV https://t.co/TMpLGU7PU0,Tanzania,0.0,2021-01-09 22:55:25
13,TEST_geocode: 0a57219b-3952-4b3b-acbb-9cb652335180,Tanzania,0.0,2021-01-09 22:54:54
14,TEST_geocode: 0bbe9132-35cc-41a8-b93c-2851b35f1ce8,Tanzania,0.0,2021-01-09 22:54:25
15,@WemaKako Take Care,Tanzania,0.0,2021-01-09 22:53:35
16,@MisterAlbie WhatsApp me,Tanzania,0.0,2021-01-09 22:45:22
17,TEST_geocode: fc64f609-bdef-4817-81ab-8d91689e8cbe,Tanzania,0.0,2021-01-09 22:36:25
18,@MisterAlbie I'm ghetto babe 😂😂,Tanzania,0.0,2021-01-09 22:29:55
19,TEST_geocode: 2b0a46de-7bda-4104-b18b-7a9eb26c4972,Tanzania,0.0,2021-01-09 22:28:08
